Dias_Antes_Falla,Temperatura_Proceso,Vibracion_Equipo,Presion_Sistema,Corriente_Motor,Caudal_Proceso,Nivel_Sistema,Velocidad_Accionamiento,Horas_Operacion
1,-0.8739208633093526,4.018428057553957,3.6284712230215828,50.33272661870503,78.64174820143884,63.05713309352519,1313.0270179856116,15538.680089928059
2,-1.0284820143884892,3.896212230215827,3.596575539568345,49.95693525179856,79.36144964028777,63.96645323741007,1320.304525179856,15525.590489208635
3,-1.2929640287769786,3.748636690647482,3.555571942446043,49.417356115107914,79.23062589928058,64.60667985611511,1325.6057194244604,15512.47564028777
4,-1.519820143884892,3.6185575539568346,3.4946187050359714,48.961622302158275,80.39152877697842,65.16514388489209,1330.7566834532374,15499.293330935252
5,-1.7145359712230217,3.4831474820143886,3.4703093525179853,48.61844964028777,80.66873381294964,65.92171582733813,1333.0210791366906,15486.457561151077
6,-2.009651079136691,3.352946043165468,3.41736690647482,48.36472302158273,81.26358633093524,66.37756115107914,1340.5935323741007,15473.526852517985
7,-2.161014388489209,3.2379964028776977,3.40010071942446,47.919802158273384,81.76426618705037,67.00271942446044,1343.4096798561152,15460.84244964029
8,-2.3866079136690646,3.1200287769784176,3.3569460431654674,47.614410071942444,82.26076978417265,67.68981294964028,1348.8293273381296,15447.9484352518
9,-2.5666258992805755,2.9864244604316545,3.333294964028777,47.08824460431654,83.19229136690647,68.24270863309351,1355.675784172662,15434.717564748202
10,-2.7648093525179855,2.8770791366906474,3.2877230215827336,46.91231294964029,83.10455035971222,68.80937050359712,1360.7016690647483,15421.628446043163
11,-2.943071942446043,2.7608776978417264,3.2559640287769787,46.39700719424461,83.6318345323741,69.39126978417266,1362.5362194244606,15408.759244604318
12,-3.066043165467626,2.655381294964029,3.2263776978417265,46.148841726618706,84.30333093525181,70.08458992805755,1366.0927913669063,15395.489467625897
13,-3.307431654676259,2.5586654676258993,3.198496402877698,45.94923021582734,84.31207913669066,70.56920503597122,1373.0088776978416,15382.276974820143
14,-3.5136223021582733,2.4448561151079136,3.1500971223021583,45.57621942446043,85.06241007194244,70.81335611510792,1375.2127122302159,15369.18626618705
15,-3.620661870503597,2.3498489208633093,3.1393057553956836,45.34957913669065,85.31944604316547,71.44692805755395,1379.5656474820144,15356.339115107914
16,-3.709751798561151,2.248237410071942,3.122935251798561,44.76765467625899,86.04590287769784,72.03827697841726,1383.359237410072,15343.18102877698
17,-3.880964028776978,2.170651079136691,3.0757302158273383,44.75712230215827,85.93798920863308,72.29741726618705,1389.504892086331,15330.105053956835
18,-4.0322446043165465,2.0904856115107915,3.0630359712230217,44.49825539568345,86.32763309352518,72.65775899280575,1391.8259136690647,15317.02271582734
19,-4.11623381294964,2.011061151079137,3.030503597122302,44.27539568345323,86.76736330935252,73.35946402877698,1395.0947050359712,15304.11987410072
20,-4.262453237410072,1.9457805755395685,3.0141402877697843,44.02761151079137,86.95984892086331,73.53478417266186,1397.8528884892087,15291.30698561151
21,-4.306561151079136,1.8820791366906473,2.995568345323741,43.722561151079134,87.1085251798561,73.85388129496403,1397.1699172661872,15278.461061151078
