Variable,Q1,Mediana,Q3,Limite_Inferior,Limite_Superior,Outliers,Porcentaje_Outliers
Presion_Sistema,2.29,2.731,3.584,0.349,5.525,1150,6.49
Corriente_Motor,37.876,42.556,49.494,20.448999999999995,66.921,586,3.31
Vibracion_Equipo,1.562,2.03,2.696,-0.139,4.397,326,1.84
Nivel_Sistema,67.5775,72.854,77.29249999999999,53.00500000000002,91.86499999999998,111,0.63
Temperatura_Proceso,-16.554499999999997,-0.656,4.8245000000000005,-48.623,36.893,0,0.0
Caudal_Proceso,63.2785,91.687,103.4785,2.978500000000004,163.7785,0,0.0
Velocidad_Accionamiento,1154.5605,1458.048,1625.089,448.7677500000002,2330.8817499999996,0,0.0
Horas_Operacion,12198.1575,15403.376,18427.0615,2854.8014999999996,27770.4175,0,0.0
