Modelo,id_modelo,Familia,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Falsos_Negativos (FN),Falsos_Positivos (FP),Verdaderos_Positivos (TP),Verdaderos_Negativos (TN),Accuracy_Pct,Precision_Pct,Recall_Pct,F1-Score_Pct,ROC-AUC_Pct
Random Forest,random_forest,Ensemble (Bagging),0.951559934318555,0.7264150943396226,0.9935483870967742,0.8392370572207084,0.9917883045549722,2,116,308,2010,95.16,72.64,99.35,83.92,99.18
Regresión Logística,regresion_logistica,Modelo Lineal Generalizado,0.9490968801313628,0.7172897196261683,0.9903225806451613,0.8319783197831978,0.9929171850817831,3,121,307,2005,94.91,71.73,99.03,83.2,99.29
XGBoost,xgboost,Ensemble (Boosting),0.9622331691297209,0.7794871794871795,0.9806451612903225,0.8685714285714285,0.9923299851303371,6,86,304,2040,96.22,77.95,98.06,86.86,99.23
