Variable,Minimo,Q1,Mediana,Q3,Maximo,Limite_Inferior_IQR,Limite_Superior_IQR,Cantidad_Atipicos,Pct_Atipicos,Decision_Tecnica
Temperatura_Proceso,-26.547,-16.554,-0.656,4.825,15.435,-48.623,36.893,0,0.0,Conservar (Condicion Operativa Real)
Vibracion_Equipo,0.2,1.562,2.03,2.696,5.983,-0.139,4.397,326,1.84,Conservar (Condicion Operativa Real)
Presion_Sistema,1.3,2.29,2.731,3.584,7.288,0.349,5.525,1150,6.49,Conservar (Condicion Operativa Real)
Corriente_Motor,24.805,37.876,42.556,49.494,80.34,20.449,66.921,586,3.31,Conservar (Condicion Operativa Real)
Caudal_Proceso,20.696,63.279,91.687,103.478,133.699,2.979,163.779,0,0.0,Conservar (Condicion Operativa Real)
Nivel_Sistema,41.457,67.578,72.854,77.292,92.194,53.005,91.865,111,0.63,Conservar (Condicion Operativa Real)
Velocidad_Accionamiento,638.294,1154.561,1458.048,1625.089,1895.418,448.768,2330.882,0,0.0,Conservar (Condicion Operativa Real)
Horas_Operacion,5103.111,12198.157,15403.376,18427.061,25385.087,2854.801,27770.417,0,0.0,Conservar (Condicion Operativa Real)
