id_modelo,nombre_modelo,familia_algoritmo,archivo_modelo,escalamiento_interno_pipeline,n_muestras_entrenamiento,n_variables_predictoras,tasa_positiva_train_pct,hiperparametros,tiempo_entrenamiento_seg,fecha_entrenamiento
regresion_logistica,Regresión Logística,Modelo Lineal Generalizado,modelo_regresion_logistica.joblib,True,12209,44,10.66,"{'C': 1.0, 'max_iter': 1000, 'solver': 'lbfgs', 'class_weight': 'balanced', 'random_state': 42}",0.0991,2026-09-21 15:13:53
random_forest,Random Forest,Ensemble (Bagging),modelo_random_forest.joblib,False,12209,44,10.66,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1}",0.3219,2026-09-21 15:13:54
xgboost,XGBoost,Ensemble (Boosting),modelo_xgboost.joblib,False,12209,44,10.66,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'scale_pos_weight': 8.38, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}",0.4184,2026-09-21 15:13:54
